player_name,sticker,team,code_prefix,code_number,source_line
Emiliano Martínez,ARG3,Argentina,ARG,3,ARG3 Emiliano Martínez - Argentina
Franco Armani,ARG4,Argentina,ARG,4,ARG4 Franco Armani - Argentina
Marcos Acuña,ARG5,Argentina,ARG,5,ARG5 Marcos Acuña - Argentina
Nahuel Molina,ARG6,Argentina,ARG,6,ARG6 Nahuel Molina - Argentina
Nicolás Otamendi,ARG7,Argentina,ARG,7,ARG7 Nicolás Otamendi - Argentina
Germán Pezzella,ARG8,Argentina,ARG,8,ARG8 Germán Pezzella - Argentina
Cristian Romero,ARG9,Argentina,ARG,9,ARG9 Cristian Romero - Argentina
Rodrigo De Paul,ARG10,Argentina,ARG,10,ARG10 Rodrigo De Paul - Argentina
Ángel Di María,ARG11,Argentina,ARG,11,ARG11 Ángel Di María - Argentina
Giovani Lo Celso,ARG12,Argentina,ARG,12,ARG12 Giovani Lo Celso - Argentina
Leandro Paredes,ARG13,Argentina,ARG,13,ARG13 Leandro Paredes - Argentina
Guido Rodríguez,ARG14,Argentina,ARG,14,ARG14 Guido Rodríguez - Argentina
Julián Álvarez,ARG15,Argentina,ARG,15,ARG15 Julián Álvarez - Argentina
Joaquín Correa,ARG16,Argentina,ARG,16,ARG16 Joaquín Correa - Argentina
Alejandro Gómez,ARG17,Argentina,ARG,17,ARG17 Alejandro Gómez - Argentina
Nicolás González,ARG18,Argentina,ARG,18,ARG18 Nicolás González - Argentina
Lautaro Martínez,ARG19,Argentina,ARG,19,ARG19 Lautaro Martínez - Argentina
Lionel Messi,ARG20,Argentina,ARG,20,ARG20 Lionel Messi - Argentina
Mathew Ryan,AUS3,Australia,AUS,3,AUS3 Mathew Ryan - Australia
Andrew Redmayne,AUS4,Australia,AUS,4,AUS4 Andrew Redmayne - Australia
Aziz Behich,AUS5,Australia,AUS,5,AUS5 Aziz Behich - Australia
Miloš Degenek,AUS6,Australia,AUS,6,AUS6 Miloš Degenek - Australia
Rhyan Grant,AUS7,Australia,AUS,7,AUS7 Rhyan Grant - Australia
Joel King,AUS8,Australia,AUS,8,AUS8 Joel King - Australia
Trent Sainsbury,AUS9,Australia,AUS,9,AUS9 Trent Sainsbury - Australia
Harry Souttar,AUS10,Australia,AUS,10,AUS10 Harry Souttar - Australia
Ajdin Hrustić,AUS11,Australia,AUS,11,AUS11 Ajdin Hrustić - Australia
Jackson Irvine,AUS12,Australia,AUS,12,AUS12 Jackson Irvine - Australia
James Jeggo,AUS13,Australia,AUS,13,AUS13 James Jeggo - Australia
Awer Mabil,AUS14,Australia,AUS,14,AUS14 Awer Mabil - Australia
Aaron Mooy,AUS15,Australia,AUS,15,AUS15 Aaron Mooy - Australia
Martin Boyle,AUS16,Australia,AUS,16,AUS16 Martin Boyle - Australia
Mitchell Duke,AUS17,Australia,AUS,17,AUS17 Mitchell Duke - Australia
Craig Goodwin,AUS18,Australia,AUS,18,AUS18 Craig Goodwin - Australia
Mathew Leckie,AUS19,Australia,AUS,19,AUS19 Mathew Leckie - Australia
Adam Taggart,AUS20,Australia,AUS,20,AUS20 Adam Taggart - Australia
Thibaut Courtois,BEL3,Belgium,BEL,3,BEL3 Thibaut Courtois - Belgium
Simon Mignolet,BEL4,Belgium,BEL,4,BEL4 Simon Mignolet - Belgium
Toby Alderweireld,BEL5,Belgium,BEL,5,BEL5 Toby Alderweireld - Belgium
Timothy Castagne,BEL6,Belgium,BEL,6,BEL6 Timothy Castagne - Belgium
Jason Denayer,BEL7,Belgium,BEL,7,BEL7 Jason Denayer - Belgium
Thomas Meunier,BEL8,Belgium,BEL,8,BEL8 Thomas Meunier - Belgium
Jan Vertonghen,BEL9,Belgium,BEL,9,BEL9 Jan Vertonghen - Belgium
Yannick Carrasco,BEL10,Belgium,BEL,10,BEL10 Yannick Carrasco - Belgium
Kevin De Bruyne,BEL11,Belgium,BEL,11,BEL11 Kevin De Bruyne - Belgium
Charles De Ketelaere,BEL12,Belgium,BEL,12,BEL12 Charles De Ketelaere - Belgium
Thorgan Hazard,BEL13,Belgium,BEL,13,BEL13 Thorgan Hazard - Belgium
Youri Tielemans,BEL14,Belgium,BEL,14,BEL14 Youri Tielemans - Belgium
Hans Vanaken,BEL15,Belgium,BEL,15,BEL15 Hans Vanaken - Belgium
Axel Witsel,BEL16,Belgium,BEL,16,BEL16 Axel Witsel - Belgium
Jérémy Doku,BEL17,Belgium,BEL,17,BEL17 Jérémy Doku - Belgium
Eden Hazard,BEL18,Belgium,BEL,18,BEL18 Eden Hazard - Belgium
Romelu Lukaku,BEL19,Belgium,BEL,19,BEL19 Romelu Lukaku - Belgium
Dries Mertens,BEL20,Belgium,BEL,20,BEL20 Dries Mertens - Belgium
Alisson,BRA3,Brazil,BRA,3,BRA3 Alisson - Brazil
Ederson,BRA4,Brazil,BRA,4,BRA4 Ederson - Brazil
Alex Sandro,BRA5,Brazil,BRA,5,BRA5 Alex Sandro - Brazil
Danilo,BRA6,Brazil,BRA,6,BRA6 Danilo - Brazil
Éder Militão,BRA7,Brazil,BRA,7,BRA7 Éder Militão - Brazil
Marquinhos,BRA8,Brazil,BRA,8,BRA8 Marquinhos - Brazil
Thiago Silva,BRA9,Brazil,BRA,9,BRA9 Thiago Silva - Brazil
Casemiro,BRA10,Brazil,BRA,10,BRA10 Casemiro - Brazil
Philippe Coutinho,BRA11,Brazil,BRA,11,BRA11 Philippe Coutinho - Brazil
Fabinho,BRA12,Brazil,BRA,12,BRA12 Fabinho - Brazil
Fred,BRA13,Brazil,BRA,13,BRA13 Fred - Brazil
Lucas Paquetá,BRA14,Brazil,BRA,14,BRA14 Lucas Paquetá - Brazil
Antony,BRA15,Brazil,BRA,15,BRA15 Antony - Brazil
Gabriel Jesus,BRA16,Brazil,BRA,16,BRA16 Gabriel Jesus - Brazil
Neymar Jr,BRA17,Brazil,BRA,17,BRA17 Neymar Jr - Brazil
Raphinha,BRA18,Brazil,BRA,18,BRA18 Raphinha - Brazil
Richarlison,BRA19,Brazil,BRA,19,BRA19 Richarlison - Brazil
Vinícius Jr,BRA20,Brazil,BRA,20,BRA20 Vinícius Jr - Brazil
Milan Borjan,CAN3,Canada,CAN,3,CAN3 Milan Borjan - Canada
Maxime Crépeau,CAN4,Canada,CAN,4,CAN4 Maxime Crépeau - Canada
Samuel Adekugbe,CAN5,Canada,CAN,5,CAN5 Samuel Adekugbe - Canada
Doneil Henry,CAN6,Canada,CAN,6,CAN6 Doneil Henry - Canada
Alistair Johnston,CAN7,Canada,CAN,7,CAN7 Alistair Johnston - Canada
Richie Laryea,CAN8,Canada,CAN,8,CAN8 Richie Laryea - Canada
Kamal Miller,CAN9,Canada,CAN,9,CAN9 Kamal Miller - Canada
Steven Vitória,CAN10,Canada,CAN,10,CAN10 Steven Vitória - Canada
Tajon Buchanan,CAN11,Canada,CAN,11,CAN11 Tajon Buchanan - Canada
Alphonso Davies,CAN12,Canada,CAN,12,CAN12 Alphonso Davies - Canada
Stephen Eustáquio,CAN13,Canada,CAN,13,CAN13 Stephen Eustáquio - Canada
Atiba Hutchinson,CAN14,Canada,CAN,14,CAN14 Atiba Hutchinson - Canada
Mark-Anthony Kaye,CAN15,Canada,CAN,15,CAN15 Mark-Anthony Kaye - Canada
Jonathan Osorio,CAN16,Canada,CAN,16,CAN16 Jonathan Osorio - Canada
Samuel Piette,CAN17,Canada,CAN,17,CAN17 Samuel Piette - Canada
Jonathan David,CAN18,Canada,CAN,18,CAN18 Jonathan David - Canada
David Junior Hoilett,CAN19,Canada,CAN,19,CAN19 David Junior Hoilett - Canada
Cyle Larin,CAN20,Canada,CAN,20,CAN20 Cyle Larin - Canada
André Onana,CMR3,Cameroon,CMR,3,CMR3 André Onana - Cameroon
Devis Epassy,CMR4,Cameroon,CMR,4,CMR4 Devis Epassy - Cameroon
Jean-Charles Castelletto,CMR5,Cameroon,CMR,5,CMR5 Jean-Charles Castelletto - Cameroon
Collins Fai,CMR6,Cameroon,CMR,6,CMR6 Collins Fai - Cameroon
Olivier Mbaizo,CMR7,Cameroon,CMR,7,CMR7 Olivier Mbaizo - Cameroon
Harold Moukoudi,CMR8,Cameroon,CMR,8,CMR8 Harold Moukoudi - Cameroon
Michael Ngadeu,CMR9,Cameroon,CMR,9,CMR9 Michael Ngadeu - Cameroon
Nouhou,CMR10,Cameroon,CMR,10,CMR10 Nouhou - Cameroon
Martin Hongla,CMR11,Cameroon,CMR,11,CMR11 Martin Hongla - Cameroon
Pierre Kunde,CMR12,Cameroon,CMR,12,CMR12 Pierre Kunde - Cameroon
James Léa Siliki,CMR13,Cameroon,CMR,13,CMR13 James Léa Siliki - Cameroon
Samuel Oum Gouet,CMR14,Cameroon,CMR,14,CMR14 Samuel Oum Gouet - Cameroon
André-Frank Zambo Anguissa,CMR15,Cameroon,CMR,15,CMR15 André-Frank Zambo Anguissa - Cameroon
Vincent Aboubakar,CMR16,Cameroon,CMR,16,CMR16 Vincent Aboubakar - Cameroon
Stéphane Bahoken,CMR17,Cameroon,CMR,17,CMR17 Stéphane Bahoken - Cameroon
Eric Maxim Choupo-Moting,CMR18,Cameroon,CMR,18,CMR18 Eric Maxim Choupo-Moting - Cameroon
Nicolas Moumi Ngamaleu,CMR19,Cameroon,CMR,19,CMR19 Nicolas Moumi Ngamaleu - Cameroon
Karl Toko Ekambi,CMR20,Cameroon,CMR,20,CMR20 Karl Toko Ekambi - Cameroon
Keylor Navas,CRC3,Costa Rica,CRC,3,CRC3 Keylor Navas - Costa Rica
Leonel Moreira,CRC4,Costa Rica,CRC,4,CRC4 Leonel Moreira - Costa Rica
Ricardo Blanco,CRC5,Costa Rica,CRC,5,CRC5 Ricardo Blanco - Costa Rica
Francisco Calvo,CRC6,Costa Rica,CRC,6,CRC6 Francisco Calvo - Costa Rica
Óscar Duarte,CRC7,Costa Rica,CRC,7,CRC7 Óscar Duarte - Costa Rica
Keysher Fuller,CRC8,Costa Rica,CRC,8,CRC8 Keysher Fuller - Costa Rica
Bryan Oviedo,CRC9,Costa Rica,CRC,9,CRC9 Bryan Oviedo - Costa Rica
Juan Pablo Vargas,CRC10,Costa Rica,CRC,10,CRC10 Juan Pablo Vargas - Costa Rica
Kendall Waston,CRC11,Costa Rica,CRC,11,CRC11 Kendall Waston - Costa Rica
Celso Borges,CRC12,Costa Rica,CRC,12,CRC12 Celso Borges - Costa Rica
Orlando Galo,CRC13,Costa Rica,CRC,13,CRC13 Orlando Galo - Costa Rica
Bryan Ruiz,CRC14,Costa Rica,CRC,14,CRC14 Bryan Ruiz - Costa Rica
Yeltsin Tejeda,CRC15,Costa Rica,CRC,15,CRC15 Yeltsin Tejeda - Costa Rica
Jewison Bennette,CRC16,Costa Rica,CRC,16,CRC16 Jewison Bennette - Costa Rica
Joel Campbell,CRC17,Costa Rica,CRC,17,CRC17 Joel Campbell - Costa Rica
Anthony Contreras,CRC18,Costa Rica,CRC,18,CRC18 Anthony Contreras - Costa Rica
Gerson Torres,CRC19,Costa Rica,CRC,19,CRC19 Gerson Torres - Costa Rica
Johan Venegas,CRC20,Costa Rica,CRC,20,CRC20 Johan Venegas - Costa Rica
Dominik Livaković,CRO3,Croatia,CRO,3,CRO3 Dominik Livaković - Croatia
Ivica Ivušić,CRO4,Croatia,CRO,4,CRO4 Ivica Ivušić - Croatia
Duje Ćaleta-Car,CRO5,Croatia,CRO,5,CRO5 Duje Ćaleta-Car - Croatia
Joško Gvardiol,CRO6,Croatia,CRO,6,CRO6 Joško Gvardiol - Croatia
Josip Juranović,CRO7,Croatia,CRO,7,CRO7 Josip Juranović - Croatia
Dejan Lovren,CRO8,Croatia,CRO,8,CRO8 Dejan Lovren - Croatia
Borna Sosa,CRO9,Croatia,CRO,9,CRO9 Borna Sosa - Croatia
Domagoj Vida,CRO10,Croatia,CRO,10,CRO10 Domagoj Vida - Croatia
Marcelo Brozović,CRO11,Croatia,CRO,11,CRO11 Marcelo Brozović - Croatia
Mateo Kovačić,CRO12,Croatia,CRO,12,CRO12 Mateo Kovačić - Croatia
Luka Modrić,CRO13,Croatia,CRO,13,CRO13 Luka Modrić - Croatia
Mario Pašalić,CRO14,Croatia,CRO,14,CRO14 Mario Pašalić - Croatia
Ivan Perišić,CRO15,Croatia,CRO,15,CRO15 Ivan Perišić - Croatia
Nikola Vlašić,CRO16,Croatia,CRO,16,CRO16 Nikola Vlašić - Croatia
Josip Brekalo,CRO17,Croatia,CRO,17,CRO17 Josip Brekalo - Croatia
Andrej Kramarić,CRO18,Croatia,CRO,18,CRO18 Andrej Kramarić - Croatia
Marko Livaja,CRO19,Croatia,CRO,19,CRO19 Marko Livaja - Croatia
Mislav Oršić,CRO20,Croatia,CRO,20,CRO20 Mislav Oršić - Croatia
Kasper Schmeichel,DEN3,Denmark,DEN,3,DEN3 Kasper Schmeichel - Denmark
Frederik Rønnow,DEN4,Denmark,DEN,4,DEN4 Frederik Rønnow - Denmark
Andreas Christensen,DEN5,Denmark,DEN,5,DEN5 Andreas Christensen - Denmark
Simon Kjær,DEN6,Denmark,DEN,6,DEN6 Simon Kjær - Denmark
Joakim Mæhle,DEN7,Denmark,DEN,7,DEN7 Joakim Mæhle - Denmark
Jens Stryger Larsen,DEN8,Denmark,DEN,8,DEN8 Jens Stryger Larsen - Denmark
Jannik Vestergaard,DEN9,Denmark,DEN,9,DEN9 Jannik Vestergaard - Denmark
Mikkel Damsgaard,DEN10,Denmark,DEN,10,DEN10 Mikkel Damsgaard - Denmark
Thomas Delaney,DEN11,Denmark,DEN,11,DEN11 Thomas Delaney - Denmark
Christian Eriksen,DEN12,Denmark,DEN,12,DEN12 Christian Eriksen - Denmark
Pierre Emile Højbjerg,DEN13,Denmark,DEN,13,DEN13 Pierre Emile Højbjerg - Denmark
Christian Nørgaard,DEN14,Denmark,DEN,14,DEN14 Christian Nørgaard - Denmark
Daniel Wass,DEN15,Denmark,DEN,15,DEN15 Daniel Wass - Denmark
Martin Braithwaite,DEN16,Denmark,DEN,16,DEN16 Martin Braithwaite - Denmark
Kasper Dolberg,DEN17,Denmark,DEN,17,DEN17 Kasper Dolberg - Denmark
Yussuf Poulsen,DEN18,Denmark,DEN,18,DEN18 Yussuf Poulsen - Denmark
Andreas Skov Olsen,DEN19,Denmark,DEN,19,DEN19 Andreas Skov Olsen - Denmark
Jonas Wind,DEN20,Denmark,DEN,20,DEN20 Jonas Wind - Denmark
Marc-André ter Stegen,DFB3,Germany,DFB,3,DFB3 Marc-André ter Stegen - Germany
Kevin Trapp,DFB4,Germany,DFB,4,DFB4 Kevin Trapp - Germany
Matthias Ginter,DFB5,Germany,DFB,5,DFB5 Matthias Ginter - Germany
Thilo Kehrer,DFB6,Germany,DFB,6,DFB6 Thilo Kehrer - Germany
Jonathan Tah,DFB7,Germany,DFB,7,DFB7 Jonathan Tah - Germany
Nico Schlotterbeck,DFB8,Germany,DFB,8,DFB8 Nico Schlotterbeck - Germany
Antonio Rüdiger,DFB9,Germany,DFB,9,DFB9 Antonio Rüdiger - Germany
Niklas Süle,DFB10,Germany,DFB,10,DFB10 Niklas Süle - Germany
Lukas Klostermann,DFB11,Germany,DFB,11,DFB11 Lukas Klostermann - Germany
David Raum,DFB12,Germany,DFB,12,DFB12 David Raum - Germany
Julian Brandt,DFB13,Germany,DFB,13,DFB13 Julian Brandt - Germany
Joshua Kimmich,DFB14,Germany,DFB,14,DFB14 Joshua Kimmich - Germany
Leon Goretzka,DFB15,Germany,DFB,15,DFB15 Leon Goretzka - Germany
Jonas Hofmann,DFB16,Germany,DFB,16,DFB16 Jonas Hofmann - Germany
İlkay Gündoğan,DFB17,Germany,DFB,17,DFB17 İlkay Gündoğan - Germany
Julian Draxler,DFB18,Germany,DFB,18,DFB18 Julian Draxler - Germany
Thomas Muller,DFB19,Germany,DFB,19,DFB19 Thomas Muller - Germany
Florian Neuhaus,DFB20,Germany,DFB,20,DFB20 Florian Neuhaus - Germany
Hernán Galíndez,ECU3,Ecuador,ECU,3,ECU3 Hernán Galíndez - Ecuador
Alexander Domínguez,ECU4,Ecuador,ECU,4,ECU4 Alexander Domínguez - Ecuador
Robert Arboleda,ECU5,Ecuador,ECU,5,ECU5 Robert Arboleda - Ecuador
Byron Castillo,ECU6,Ecuador,ECU,6,ECU6 Byron Castillo - Ecuador
Pervis Estupiñán,ECU7,Ecuador,ECU,7,ECU7 Pervis Estupiñán - Ecuador
Piero Hincapié,ECU8,Ecuador,ECU,8,ECU8 Piero Hincapié - Ecuador
Ángelo Preciado,ECU9,Ecuador,ECU,9,ECU9 Ángelo Preciado - Ecuador
Félix Torres,ECU10,Ecuador,ECU,10,ECU10 Félix Torres - Ecuador
Moisés Caicedo,ECU11,Ecuador,ECU,11,ECU11 Moisés Caicedo - Ecuador
Alan Franco,ECU12,Ecuador,ECU,12,ECU12 Alan Franco - Ecuador
Carlos Gruezo,ECU13,Ecuador,ECU,13,ECU13 Carlos Gruezo - Ecuador
Jhegson Méndez,ECU14,Ecuador,ECU,14,ECU14 Jhegson Méndez - Ecuador
Jeremy Sarmiento,ECU15,Ecuador,ECU,15,ECU15 Jeremy Sarmiento - Ecuador
Michael Estrada,ECU16,Ecuador,ECU,16,ECU16 Michael Estrada - Ecuador
Ángel Mena,ECU17,Ecuador,ECU,17,ECU17 Ángel Mena - Ecuador
Gonzalo Plata,ECU18,Ecuador,ECU,18,ECU18 Gonzalo Plata - Ecuador
Ayrton Preciado,ECU19,Ecuador,ECU,19,ECU19 Ayrton Preciado - Ecuador
Enner Valencia,ECU20,Ecuador,ECU,20,ECU20 Enner Valencia - Ecuador
Jordan Pickford,ENG3,England,ENG,3,ENG3 Jordan Pickford - England
Aaron Ramsdale,ENG4,England,ENG,4,ENG4 Aaron Ramsdale - England
Trent Alexander-Arnold,ENG5,England,ENG,5,ENG5 Trent Alexander-Arnold - England
Conor Coady,ENG6,England,ENG,6,ENG6 Conor Coady - England
Harry Maguire,ENG7,England,ENG,7,ENG7 Harry Maguire - England
Luke Shaw,ENG8,England,ENG,8,ENG8 Luke Shaw - England
John Stones,ENG9,England,ENG,9,ENG9 John Stones - England
Kyle Walker,ENG10,England,ENG,10,ENG10 Kyle Walker - England
Jude Bellingham,ENG11,England,ENG,11,ENG11 Jude Bellingham - England
Jack Grealish,ENG12,England,ENG,12,ENG12 Jack Grealish - England
Jordan Henderson,ENG13,England,ENG,13,ENG13 Jordan Henderson - England
Mason Mount,ENG14,England,ENG,14,ENG14 Mason Mount - England
Kalvin Phillips,ENG15,England,ENG,15,ENG15 Kalvin Phillips - England
Declan Rice,ENG16,England,ENG,16,ENG16 Declan Rice - England
Phil Foden,ENG17,England,ENG,17,ENG17 Phil Foden - England
Harry Kane,ENG18,England,ENG,18,ENG18 Harry Kane - England
Bukayo Saka,ENG19,England,ENG,19,ENG19 Bukayo Saka - England
Raheem Sterling,ENG20,England,ENG,20,ENG20 Raheem Sterling - England
Unai Simón,ESP3,Spain,ESP,3,ESP3 Unai Simón - Spain
Robert Sánchez,ESP4,Spain,ESP,4,ESP4 Robert Sánchez - Spain
César Azpilicueta,ESP5,Spain,ESP,5,ESP5 César Azpilicueta - Spain
Eric García,ESP6,Spain,ESP,6,ESP6 Eric García - Spain
Jordi Alba,ESP7,Spain,ESP,7,ESP7 Jordi Alba - Spain
Aymeric Laporte,ESP8,Spain,ESP,8,ESP8 Aymeric Laporte - Spain
Pau Torres,ESP9,Spain,ESP,9,ESP9 Pau Torres - Spain
Gavi,ESP10,Spain,ESP,10,ESP10 Gavi - Spain
Koke,ESP11,Spain,ESP,11,ESP11 Koke - Spain
Marcos Llorente,ESP12,Spain,ESP,12,ESP12 Marcos Llorente - Spain
Pedri,ESP13,Spain,ESP,13,ESP13 Pedri - Spain
Rodri,ESP14,Spain,ESP,14,ESP14 Rodri - Spain
Sergio Busquets,ESP15,Spain,ESP,15,ESP15 Sergio Busquets - Spain
Dani Olmo,ESP16,Spain,ESP,16,ESP16 Dani Olmo - Spain
Ansu Fati,ESP17,Spain,ESP,17,ESP17 Ansu Fati - Spain
Ferran Torres,ESP18,Spain,ESP,18,ESP18 Ferran Torres - Spain
Álvaro Morata,ESP19,Spain,ESP,19,ESP19 Álvaro Morata - Spain
Pablo Sarabia,ESP20,Spain,ESP,20,ESP20 Pablo Sarabia - Spain
Hugo Lloris,FRA3,France,FRA,3,FRA3 Hugo Lloris - France
Mike Maignan,FRA4,France,FRA,4,FRA4 Mike Maignan - France
Lucas Hernández,FRA5,France,FRA,5,FRA5 Lucas Hernández - France
Theo Hernández,FRA6,France,FRA,6,FRA6 Theo Hernández - France
Presnel Kimpembe,FRA7,France,FRA,7,FRA7 Presnel Kimpembe - France
Jules Koundé,FRA8,France,FRA,8,FRA8 Jules Koundé - France
Benjamin Pavard,FRA9,France,FRA,9,FRA9 Benjamin Pavard - France
Raphaël Varane,FRA10,France,FRA,10,FRA10 Raphaël Varane - France
N'Golo Kanté,FRA11,France,FRA,11,FRA11 N'Golo Kanté - France
Paul Pogba,FRA12,France,FRA,12,FRA12 Paul Pogba - France
Adrien Rabiot,FRA13,France,FRA,13,FRA13 Adrien Rabiot - France
Aurélien Tchouaméni,FRA14,France,FRA,14,FRA14 Aurélien Tchouaméni - France
Wissam Ben Yedder,FRA15,France,FRA,15,FRA15 Wissam Ben Yedder - France
Karim Benzema,FRA16,France,FRA,16,FRA16 Karim Benzema - France
Kingsley Coman,FRA17,France,FRA,17,FRA17 Kingsley Coman - France
Antoine Griezmann,FRA18,France,FRA,18,FRA18 Antoine Griezmann - France
Kylian Mbappé,FRA19,France,FRA,19,FRA19 Kylian Mbappé - France
Christopher Nkunku,FRA20,France,FRA,20,FRA20 Christopher Nkunku - France
Manuel Neuer,GER3,Germany,GER,3,GER3 Manuel Neuer - Germany
Marc-André ter Stegen,GER4,Germany,GER,4,GER4 Marc-André ter Stegen - Germany
Matthias Ginter,GER5,Germany,GER,5,GER5 Matthias Ginter - Germany
Robin Gosens,GER6,Germany,GER,6,GER6 Robin Gosens - Germany
Thilo Kehrer,GER7,Germany,GER,7,GER7 Thilo Kehrer - Germany
David Raum,GER8,Germany,GER,8,GER8 David Raum - Germany
Antonio Rüdiger,GER9,Germany,GER,9,GER9 Antonio Rüdiger - Germany
Niklas Süle,GER10,Germany,GER,10,GER10 Niklas Süle - Germany
Leon Goretzka,GER11,Germany,GER,11,GER11 Leon Goretzka - Germany
İlkay Gündoğan,GER12,Germany,GER,12,GER12 İlkay Gündoğan - Germany
Kai Havertz,GER13,Germany,GER,13,GER13 Kai Havertz - Germany
Jonas Hofmann,GER14,Germany,GER,14,GER14 Jonas Hofmann - Germany
Joshua Kimmich,GER15,Germany,GER,15,GER15 Joshua Kimmich - Germany
Serge Gnabry,GER16,Germany,GER,16,GER16 Serge Gnabry - Germany
Thomas Müller,GER17,Germany,GER,17,GER17 Thomas Müller - Germany
Marco Reus,GER18,Germany,GER,18,GER18 Marco Reus - Germany
Leroy Sané,GER19,Germany,GER,19,GER19 Leroy Sané - Germany
Timo Werner,GER20,Germany,GER,20,GER20 Timo Werner - Germany
Joe Wollacott,GHA3,Ghana,GHA,3,GHA3 Joe Wollacott - Ghana
Richard Ofori,GHA4,Ghana,GHA,4,GHA4 Richard Ofori - Ghana
Daniel Amartey,GHA5,Ghana,GHA,5,GHA5 Daniel Amartey - Ghana
Abdul-Rahman Baba,GHA6,Ghana,GHA,6,GHA6 Abdul-Rahman Baba - Ghana
Alexander Djiku,GHA7,Ghana,GHA,7,GHA7 Alexander Djiku - Ghana
Gideon Mensah,GHA8,Ghana,GHA,8,GHA8 Gideon Mensah - Ghana
Jonathan Mensah,GHA9,Ghana,GHA,9,GHA9 Jonathan Mensah - Ghana
Andy Yiadom,GHA10,Ghana,GHA,10,GHA10 Andy Yiadom - Ghana
Iddrisu Baba,GHA11,Ghana,GHA,11,GHA11 Iddrisu Baba - Ghana
Mohammed Kudus,GHA12,Ghana,GHA,12,GHA12 Mohammed Kudus - Ghana
Daniel-Kofi Kyereh,GHA13,Ghana,GHA,13,GHA13 Daniel-Kofi Kyereh - Ghana
Thomas Partey,GHA14,Ghana,GHA,14,GHA14 Thomas Partey - Ghana
Mubarak Wakaso,GHA15,Ghana,GHA,15,GHA15 Mubarak Wakaso - Ghana
Felix Afena-Gyan,GHA16,Ghana,GHA,16,GHA16 Felix Afena-Gyan - Ghana
André Ayew,GHA17,Ghana,GHA,17,GHA17 André Ayew - Ghana
Jordan Ayew,GHA18,Ghana,GHA,18,GHA18 Jordan Ayew - Ghana
Issahaku Abdul Fatawu,GHA19,Ghana,GHA,19,GHA19 Issahaku Abdul Fatawu - Ghana
Kamaldeen Sulemana,GHA20,Ghana,GHA,20,GHA20 Kamaldeen Sulemana - Ghana
Amir Abedzadeh,IRN3,Iran,IRN,3,IRN3 Amir Abedzadeh - Iran
Alireza Beiranvand,IRN4,Iran,IRN,4,IRN4 Alireza Beiranvand - Iran
Ehsan Hajsafi,IRN5,Iran,IRN,5,IRN5 Ehsan Hajsafi - Iran
Majid Hosseini,IRN6,Iran,IRN,6,IRN6 Majid Hosseini - Iran
Hossein Kanaani,IRN7,Iran,IRN,7,IRN7 Hossein Kanaani - Iran
Shoja Khalilzadeh,IRN8,Iran,IRN,8,IRN8 Shoja Khalilzadeh - Iran
Milad Mohammadi,IRN9,Iran,IRN,9,IRN9 Milad Mohammadi - Iran
Sadegh Moharrami,IRN10,Iran,IRN,10,IRN10 Sadegh Moharrami - Iran
Omid Noorafkan,IRN11,Iran,IRN,11,IRN11 Omid Noorafkan - Iran
Vahid Amiri,IRN12,Iran,IRN,12,IRN12 Vahid Amiri - Iran
Saeid Ezatolahi,IRN13,Iran,IRN,13,IRN13 Saeid Ezatolahi - Iran
